"filename", "language", "HTML", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\package-lock.json", "JSON", 0, 0, 0, 5060, 0, 1, 5061
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\package.json", "JSON", 0, 0, 0, 62, 0, 1, 63
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\404.html", "HTML", 32, 0, 0, 0, 0, 2, 34
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\css\classrooms.css", "CSS", 0, 0, 106, 0, 4, 19, 129
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\css\index.css", "CSS", 0, 0, 97, 0, 0, 18, 115
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\css\meetingPopout.css", "CSS", 0, 0, 305, 0, 26, 65, 396
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\css\modals.css", "CSS", 0, 0, 107, 0, 2, 23, 132
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\css\navbarLeft.css", "CSS", 0, 0, 73, 0, 1, 12, 86
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\css\navbarRight.css", "CSS", 0, 0, 28, 0, 0, 5, 33
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\css\slideshow.css", "CSS", 0, 0, 138, 0, 6, 21, 165
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\css\studentPopout.css", "CSS", 0, 0, 180, 0, 8, 32, 220
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\css\students.css", "CSS", 0, 0, 66, 0, 4, 9, 79
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\css\tutorial.css", "CSS", 0, 0, 88, 0, 5, 7, 100
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\index.html", "HTML", 70, 0, 0, 0, 15, 21, 106
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\index.js", "JavaScript", 0, 29, 0, 0, 16, 10, 55
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\apiGadgets.js", "JavaScript", 0, 312, 0, 0, 60, 50, 422
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\firebaseAuth.js", "JavaScript", 0, 154, 0, 0, 45, 27, 226
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\joinClass.js", "JavaScript", 0, 44, 0, 0, 1, 6, 51
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\jquery.js", "JavaScript", 0, 6649, 0, 0, 1596, 1545, 9790
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\meetingGadgets.js", "JavaScript", 0, 79, 0, 0, 8, 12, 99
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\meetingPopout.js", "JavaScript", 0, 278, 0, 0, 29, 30, 337
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\meetingPopoutAPI.js", "JavaScript", 0, 23, 0, 0, 23, 8, 54
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\messaging.js", "JavaScript", 0, 119, 0, 0, 3, 14, 136
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\modals.js", "JavaScript", 0, 80, 0, 0, 12, 17, 109
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\pageDynamics.js", "JavaScript", 0, 25, 0, 0, 6, 7, 38
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\render.js", "JavaScript", 0, 28, 0, 0, 58, 16, 102
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\studentGadgets.js", "JavaScript", 0, 24, 0, 0, 0, 5, 29
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\studentMessaging.js", "JavaScript", 0, 119, 0, 0, 3, 13, 135
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\studentPopout.js", "JavaScript", 0, 104, 0, 0, 11, 14, 129
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\js\zoomAuth.js", "JavaScript", 0, 96, 0, 0, 49, 28, 173
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\templates\classroomPage.html", "HTML", 364, 0, 0, 0, 1, 52, 417
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\templates\gadgets.html", "HTML", 16, 0, 0, 0, 0, 2, 18
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\templates\joinOrLog.html", "HTML", 92, 0, 0, 0, 0, 13, 105
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\templates\meetingPopout.html", "HTML", 180, 0, 0, 0, 32, 29, 241
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\templates\modals.html", "HTML", 296, 0, 0, 0, 24, 32, 352
"c:\Users\sonny\OneDrive - Bellarmine College Preparatory\Everything\Coding\DesktopApps\ClassAlly\src\templates\navLeft.html", "HTML", 51, 0, 0, 0, 0, 5, 56
